board,material,noeca_accuracy,eca_accuracy,delta_accuracy,noeca_macro_f1,eca_macro_f1,delta_macro_f1
C01,carbon,0.8369047619,0.8373015873,0.0003968254,0.2273475529,0.2861465339,0.0587989810
C02,carbon,0.7295044002,0.7044928208,-0.0250115794,0.2237334412,0.2940774457,0.0703440045
C03,carbon,0.0440587450,0.4732977303,0.4292389853,0.0774176530,0.2123415414,0.1349238884
W01,wood,0.4924647545,0.8862421001,0.3937773456,0.2102198067,0.5527517278,0.3425319211
W02,wood,0.6724055476,0.8388330942,0.1664275466,0.1769453391,0.3006510798,0.1237057407
W03,wood,0.7885590152,0.7748008689,-0.0137581463,0.1841008971,0.3112776157,0.1271767186
